a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
5.671024358855029229e-04,1.192750997031126947e-05,3.613592700479059178e-06,1.800000000000000000e+01,4.403788733105025097e-03,-4.859756251718683302e+02,1.042125128881137499e+02,9.690471979796970725e-01
5.620677790733884542e-04,1.134082253743236609e-05,4.404538099695713223e-06,1.700000000000000000e+01,3.719196143880040394e-03,-5.124305111728255042e+02,1.279229229336536235e+02,9.793509967489230084e-01
5.927660754816455610e-04,1.175062914198074507e-05,4.186021679342131643e-06,1.700000000000000000e+01,4.744672071827323728e-03,-6.124832346161263104e+02,1.114081862843082718e+02,9.498206032691332013e-01
4.742617910057755470e-04,1.070646589907154884e-05,4.820046136362502233e-06,1.600000000000000000e+01,3.496373257075475159e-03,-2.967368346693186254e+02,1.706941412608379665e+02,9.970409931392385516e-01
4.635946580205462073e-04,8.419170260241173057e-06,4.787610709231247941e-06,1.400000000000000000e+01,4.192159008987874670e-03,-8.214160915689177500e+02,1.909985265994246504e+02,9.751417407010728455e-01
4.730463992854369321e-04,1.039114677440387884e-05,3.497812660811549433e-06,1.600000000000000000e+01,4.521576568180189770e-03,-4.040335412885071378e+02,1.373394367241110103e+02,9.903095524374543324e-01
4.611933311493111387e-04,9.510680191107399634e-06,3.781840676280725888e-06,1.400000000000000000e+01,4.559671143362908734e-03,-5.586493211355804078e+02,1.670343431174043474e+02,9.868349467925711105e-01
5.179015002224317005e-04,1.012912084342984428e-05,4.763290346117874074e-06,1.800000000000000000e+01,4.787474869555204647e-03,-4.594054386597212556e+02,1.281505388942706531e+02,9.843939252813374008e-01
5.730007852723215025e-04,1.154135278561549256e-05,4.606610334293401706e-06,1.600000000000000000e+01,4.903346130380121029e-03,-4.924800976349869757e+02,1.273032599826827038e+02,9.811112886629407281e-01
4.801673676751553894e-04,1.006060615818505930e-05,4.993365829010863987e-06,1.600000000000000000e+01,4.582332863447245719e-03,-3.607733359143621783e+02,1.610948356886241868e+02,9.948193435003463980e-01
4.414591896100171432e-04,9.575675022027832538e-06,3.292068131717684571e-06,1.600000000000000000e+01,4.367898135640691654e-03,-4.423475667512980181e+02,1.440501331280010504e+02,9.892750804194923031e-01
4.093090191916728352e-04,8.373914065165969411e-06,4.174031418101054012e-06,1.300000000000000000e+01,3.829205415371796442e-03,-5.618002206349970038e+02,2.221950437326299266e+02,9.931797644440187867e-01
4.677211038936904069e-04,1.147997694127156923e-05,3.452864476234802510e-06,1.300000000000000000e+01,4.621532796317474011e-03,-3.195890508338675318e+02,1.688793016760574801e+02,9.964364994432306499e-01
4.389665192175627685e-04,1.062317453689348270e-05,4.308014379931843654e-06,1.600000000000000000e+01,3.550152857466127177e-03,-2.454736262281926429e+02,1.738102631991986584e+02,9.981110170258197245e-01
5.971433196423816397e-04,1.156341538191065857e-05,4.328904111498635963e-06,1.700000000000000000e+01,4.524555086868631629e-03,-7.099501367262957956e+02,1.138957275241777580e+02,9.231476201677054627e-01
5.196959111374379898e-04,1.162921873811402712e-05,4.493673675384380343e-06,1.400000000000000000e+01,4.499444616633941837e-03,-3.571147799672943961e+02,1.621436554404830304e+02,9.950096470739774324e-01
4.443019422065819343e-04,1.135967337918885610e-05,4.941495960840768073e-06,1.700000000000000000e+01,4.938444593923133064e-03,-1.618932678752011327e+02,1.597212505442157067e+02,9.990645500135981738e-01
4.191062095601101318e-04,1.114260820871327625e-05,3.734445275935538783e-06,1.200000000000000000e+01,3.827940919980322119e-03,-2.535531217112281297e+02,2.223775510884349842e+02,9.988016072409788837e-01
5.279446419009295715e-04,1.055353513502903451e-05,4.946671418833441330e-06,1.800000000000000000e+01,4.659778025258113146e-03,-4.062403344460779522e+02,1.290498924737864854e+02,9.886218541468044796e-01
4.165796905959866302e-04,1.124777809525312814e-05,4.059170966255154230e-06,1.200000000000000000e+01,4.645904750793990526e-03,-2.176841184512035738e+02,2.224065377623338122e+02,9.991306710469793906e-01
5.604507970606356897e-04,1.181700649722030211e-05,4.410091310954033914e-06,1.400000000000000000e+01,4.677028145966907573e-03,-4.743774590514084935e+02,1.474314428671668793e+02,9.880089583151497878e-01
4.587541137657082449e-04,1.002015457807104699e-05,4.713124196733827762e-06,1.600000000000000000e+01,3.016610914209799741e-03,-3.474788498689044332e+02,1.792063001751714637e+02,9.962404319702847788e-01
4.308007730173068041e-04,9.823369842362173837e-06,4.505171023852225364e-06,1.500000000000000000e+01,4.712422036382613033e-03,-2.923441650428264325e+02,1.805669712783918328e+02,9.974648749648655777e-01
